prob_num,title,href,paywall,acceptance_rate,difficulty,uplikes,downlikes,verbosity,category
177,Nth Highest Salary,/problems/nth-highest-salary,FREE,35.9%,MED,993,635,208,DB
178,Rank Scores,/problems/rank-scores,FREE,56.9%,MED,1258,200,231,DB
179,Largest Number,/problems/largest-number,FREE,32.7%,MED,4636,394,199,ALG
180,Consecutive Numbers,/problems/consecutive-numbers,FREE,45.4%,MED,932,181,186,DB
181,Employees Earning More Than Their Managers,/problems/employees-earning-more-than-their-managers,FREE,65.9%,EASY,1303,151,179,DB
182,Duplicate Emails,/problems/duplicate-emails,FREE,68.5%,EASY,1010,45,156,DB
183,Customers Who Never Order,/problems/customers-who-never-order,FREE,62.3%,EASY,837,69,186,DB
184,Department Highest Salary,/problems/department-highest-salary,FREE,46.3%,MED,1049,163,213,DB
185,Department Top Three Salaries,/problems/department-top-three-salaries,FREE,46.5%,HARD,1022,180,436,DB
186,Reverse Words in a String II,/problems/reverse-words-in-a-string-ii,PREM,50.6%,MED,830,126,245,ALG
187,Repeated DNA Sequences,/problems/repeated-dna-sequences,FREE,44.4%,MED,1883,401,358,ALG
188,Best Time to Buy and Sell Stock IV,/problems/best-time-to-buy-and-sell-stock-iv,FREE,33.2%,HARD,3666,151,316,ALG
189,Rotate Array,/problems/rotate-array,FREE,38.4%,MED,8811,1249,92,ALG
190,Reverse Bits,/problems/reverse-bits,FREE,48.2%,EASY,2857,776,130,ALG
191,Number of 1 Bits,/problems/number-of-1-bits,FREE,59.7%,EASY,2780,768,130,ALG
192,Word Frequency,/problems/word-frequency,FREE,25.6%,MED,345,233,254,SH
193,Valid Phone Numbers,/problems/valid-phone-numbers,FREE,25.8%,EASY,257,691,495,SH
194,Transpose File,/problems/transpose-file,FREE,25.0%,MED,99,239,227,SH
195,Tenth Line,/problems/tenth-line,FREE,32.8%,EASY,252,327,171,SH
196,Delete Duplicate Emails,/problems/delete-duplicate-emails,FREE,51.3%,EASY,773,1245,285,DB
197,Rising Temperature,/problems/rising-temperature,FREE,42.2%,EASY,826,346,212,DB
198,House Robber,/problems/house-robber,FREE,46.8%,MED,11558,249,496,ALG
199,Binary Tree Right Side View,/problems/binary-tree-right-side-view,FREE,59.3%,MED,6124,328,154,ALG
200,Number of Islands,/problems/number-of-islands,FREE,53.5%,MED,12909,318,294,ALG
201,Bitwise AND of Numbers Range,/problems/bitwise-and-of-numbers-range,FREE,41.7%,MED,2183,177,137,ALG
202,Happy Number,/problems/happy-number,FREE,53.0%,EASY,5001,681,168,ALG
203,Remove Linked List Elements,/problems/remove-linked-list-elements,FREE,43.2%,EASY,4654,158,142,ALG
204,Count Primes,/problems/count-primes,FREE,33.0%,MED,4582,975,85,ALG
205,Isomorphic Strings,/problems/isomorphic-strings,FREE,42.0%,EASY,3341,628,339,ALG
206,Reverse Linked List,/problems/reverse-linked-list,FREE,69.8%,EASY,11083,188,188,ALG
207,Course Schedule,/problems/course-schedule,FREE,45.0%,MED,8792,354,305,ALG
208,Implement Trie (Prefix Tree),/problems/implement-trie-prefix-tree,FREE,57.6%,MED,6682,87,256,ALG
209,Minimum Size Subarray Sum,/problems/minimum-size-subarray-sum,FREE,42.9%,MED,6108,182,261,ALG
210,Course Schedule II,/problems/course-schedule-ii,FREE,46.3%,MED,6326,230,426,ALG
211,Design Add and Search Words Data Structure,/problems/design-add-and-search-words-data-structure,FREE,44.0%,MED,4681,196,158,ALG
212,Word Search II,/problems/word-search-ii,FREE,38.2%,HARD,5707,202,296,ALG
213,House Robber II,/problems/house-robber-ii,FREE,39.7%,MED,5090,89,553,ALG
214,Shortest Palindrome,/problems/shortest-palindrome,FREE,31.7%,HARD,2275,183,174,ALG
215,Kth Largest Element in an Array,/problems/kth-largest-element-in-an-array,FREE,63.0%,MED,8621,481,180,ALG
216,Combination Sum III,/problems/combination-sum-iii,FREE,63.7%,MED,2675,73,256,ALG
217,Contains Duplicate,/problems/contains-duplicate,FREE,60.5%,EASY,4129,935,137,ALG
218,The Skyline Problem,/problems/the-skyline-problem,FREE,38.5%,HARD,3695,193,1187,ALG
219,Contains Duplicate II,/problems/contains-duplicate-ii,FREE,40.6%,EASY,2274,1818,162,ALG
220,Contains Duplicate III,/problems/contains-duplicate-iii,FREE,21.7%,MED,2214,2179,179,ALG
221,Maximal Square,/problems/maximal-square,FREE,43.2%,MED,6893,144,118,ALG
222,Count Complete Tree Nodes,/problems/count-complete-tree-nodes,FREE,54.8%,MED,4615,307,386,ALG
223,Rectangle Area,/problems/rectangle-area,FREE,40.0%,MED,729,1001,328,ALG
224,Basic Calculator,/problems/basic-calculator,FREE,40.3%,HARD,3444,286,258,ALG
225,Implement Stack using Queues,/problems/implement-stack-using-queues,FREE,52.2%,EASY,1957,777,261,ALG
226,Invert Binary Tree,/problems/invert-binary-tree,FREE,71.2%,EASY,7874,105,70,ALG
227,Basic Calculator II,/problems/basic-calculator-ii,FREE,41.4%,MED,4088,536,391,ALG
228,Summary Ranges,/problems/summary-ranges,FREE,46.3%,EASY,1994,1129,403,ALG
229,Majority Element II,/problems/majority-element-ii,FREE,42.0%,MED,4533,271,160,ALG
230,Kth Smallest Element in a BST,/problems/kth-smallest-element-in-a-bst,FREE,66.4%,MED,5969,120,303,ALG
231,Power of Two,/problems/power-of-two,FREE,44.9%,EASY,2998,282,160,ALG
232,Implement Queue using Stacks,/problems/implement-queue-using-stacks,FREE,57.5%,EASY,3088,212,418,ALG
233,Number of Digit One,/problems/number-of-digit-one,FREE,33.4%,HARD,678,994,117,ALG
234,Palindrome Linked List,/problems/palindrome-linked-list,FREE,46.2%,EASY,8298,511,74,ALG
235,Lowest Common Ancestor of a Binary Search Tree,/problems/lowest-common-ancestor-of-a-binary-search-tree,FREE,56.6%,EASY,5258,176,331,ALG
236,Lowest Common Ancestor of a Binary Tree,/problems/lowest-common-ancestor-of-a-binary-tree,FREE,54.8%,MED,9103,263,319,ALG
237,Delete Node in a Linked List,/problems/delete-node-in-a-linked-list,FREE,71.5%,EASY,4138,11351,257,ALG
238,Product of Array Except Self,/problems/product-of-array-except-self,FREE,63.7%,MED,11518,702,464,ALG
239,Sliding Window Maximum,/problems/sliding-window-maximum,FREE,46.2%,HARD,9205,321,277,ALG
240,Search a 2D Matrix II,/problems/search-a-2d-matrix-ii,FREE,48.1%,MED,6905,120,138,ALG
241,Different Ways to Add Parentheses,/problems/different-ways-to-add-parentheses,FREE,61.3%,MED,3428,169,198,ALG
242,Valid Anagram,/problems/valid-anagram,FREE,61.2%,EASY,4425,203,341,ALG
243,Shortest Word Distance,/problems/shortest-word-distance,PREM,64.1%,EASY,976,83,176,ALG
244,Shortest Word Distance II,/problems/shortest-word-distance-ii,PREM,59.1%,MED,808,246,207,ALG
245,Shortest Word Distance III,/problems/shortest-word-distance-iii,PREM,57.1%,MED,332,82,279,ALG
246,Strobogrammatic Number,/problems/strobogrammatic-number,PREM,47.5%,EASY,442,726,201,ALG
247,Strobogrammatic Number II,/problems/strobogrammatic-number-ii,PREM,50.8%,MED,753,193,226,ALG
248,Strobogrammatic Number III,/problems/strobogrammatic-number-iii,PREM,41.3%,HARD,269,170,267,ALG
249,Group Shifted Strings,/problems/group-shifted-strings,PREM,63.1%,MED,1255,230,268,ALG
250,Count Univalue Subtrees,/problems/count-univalue-subtrees,PREM,54.7%,MED,918,291,144,ALG
251,Flatten 2D Vector,/problems/flatten-2d-vector,PREM,47.8%,MED,556,308,220,ALG
252,Meeting Rooms,/problems/meeting-rooms,PREM,56.6%,EASY,1346,65,126,ALG
253,Meeting Rooms II,/problems/meeting-rooms-ii,PREM,49.5%,MED,5278,104,143,ALG
254,Factor Combinations,/problems/factor-combinations,PREM,48.6%,MED,872,45,220,ALG
255,Verify Preorder Sequence in Binary Search Tree,/problems/verify-preorder-sequence-in-binary-search-tree,PREM,47.4%,MED,904,68,193,ALG
